[Quantification.py] 2024-01-29 13:36:36,220 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:36:50,075 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:37:14,528 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
