,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,20.4944321867955,No Match,,,Benzylephedrine,C17H21NO,67.5630762110175,Benzphetamine,C17H21N,66.9953212904049
1,20.287,"1(3H)-Isobenzofuranone, 3,3-dimethyl-",C10H10O2,53.2148822173241,Benzphetamine,C17H21N,66.7197235698771,"1(3H)-Isobenzofuranone, 3,3-dimethyl-",C10H10O2,53.2148822173241
2,20.2407,1-(3-hydroxy-4-isobutylphenyl)ethanone,C12H16O2,57.4346908406552,1-(3-hydroxy-4-isobutylphenyl)ethanone,C12H16O2,57.4346908406552,1-(3-hydroxy-4-isobutylphenyl)ethanone,C12H16O2,55.786594201759
3,20.2326,No Match,,,"Disiloxane, hexamethyl-",C6H18OSi2,67.0661277286957,"2,5-pyrrolidinedione, 1-[(4-propylbenzoyl)oxy]-",C14H15NO4,53.3311708518108
4,13.479,"Benzene, 1,2,4-trimethyl-",C9H12,94.2255503927386,"Benzene, 1,2,4-trimethyl-",C9H12,94.2255503927386,"1-Hexanone, 5-methyl-1-phenyl-",C13H18O,78.4386932463408
5,13.2591,"m-Menthane, (1S,3S)-(+)-",C10H20,71.274106655761,"m-Menthane, (1S,3S)-(+)-",C10H20,71.274106655761,"Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-",C10H20,66.7371485978368
6,13.1153,"Cyclohexane, 2-ethyl-1,3-dimethyl-",C10H20,75.2111137179444,"Cyclohexane, 2-ethyl-1,3-dimethyl-",C10H20,75.2111137179444,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,71.3608425673214
7,13.0045,"Nonane, 3-methyl-",C10H22,91.1705072446241,"Nonane, 3-methyl-",C10H22,91.1705072446241,"Octane, 3,6-dimethyl-",C10H22,79.1403159267384
8,12.8795,"Nonane, 2-methyl-",C10H22,84.4545395379788,"Nonane, 2-methyl-",C10H22,84.4545395379788,"Octane, 2,7-dimethyl-",C10H22,60.705723423449
9,12.8449,"Trans-1,4-diethylcyclohexane",C10H20,69.88835501345,"Trans-1,4-diethylcyclohexane",C10H20,69.88835501345,"Cyclohexane, 1-ethyl-1,4-dimethyl-, trans-",C10H20,62.4764538291562
10,12.8303,"Nonane, 4-methyl-",C10H22,89.4867828056194,"Nonane, 4-methyl-",C10H22,89.4867828056194,"Dichloroacetic acid, 6-ethyl-3-octyl ester",C12H22Cl2O2,79.6615189482814
11,12.708,"Undecane, 5,6-dimethyl-",C13H28,89.5384570149313,"Undecane, 5,6-dimethyl-",C13H28,89.5384570149313,"Undecane, 3,5-dimethyl-",C13H28,84.2444137633147
12,12.5891,"Cyclohexane, 1,1,3,5-tetramethyl-, cis-",C10H20,64.0167121982539,"2-Pyrazoline, 4-ethyl-1-isopropyl-",C8H16N2,69.5395214537528,"Cyclohexane, 1,1,3,5-tetramethyl-, cis-",C10H20,61.5334645412906
13,12.4335,"Trans-1,4-diethylcyclohexane",C10H20,75.4639401646115,2-(Butyliden-2-one)tetrahydrofuran,C8H12O2,78.6728775367863,"Cyclohexane, 1-ethyl-2,4-dimethyl-",C10H20,71.2583487733695
14,12.4103,"Undecane, 6,6-dimethyl-",C13H28,89.0201819969257,"Undecane, 6,6-dimethyl-",C13H28,89.0201819969257,"Octane, 3,6-dimethyl-",C10H22,83.5965846269416
15,12.2965,"Octane, 3,6-dimethyl-",C10H22,94.7202273248582,"Octane, 3,6-dimethyl-",C10H22,94.7202273248582,"Hexane, 2,2,5-trimethyl-",C9H20,67.398625975159
16,12.2469,"Cyclohexane, propyl-",C9H18,72.246319900845,"Cyclohexane, propyl-",C9H18,72.246319900845,"Cyclohexane, propyl-",C9H18,68.6920796992928
17,12.2015,"Pentane, 2,2,4-trimethyl-",C8H18,73.8757114898004,"1-Octanol, 2-butyl-",C12H26O,82.7379358241589,"Heptane, 3-bromo-",C7H15Br,73.5330848900177
18,12.1179,"Octane, 2,5-dimethyl-",C10H22,94.8597590772278,"Octane, 2,5-dimethyl-",C10H22,94.8597590772278,"Heptane, 3,5-dimethyl-",C9H20,89.9301946634723
19,11.9717,"4,4-Dimethyl octane",C10H22,93.6348326344474,"4,4-Dimethyl octane",C10H22,93.6348326344474,"4-Methyl-1,6-heptadien-4-ol",C8H14O,70.8624636101339
20,11.8484,1-Ethyl-4-methylcyclohexane,C9H18,87.7049809604131,1-Ethyl-4-methylcyclohexane,C9H18,87.7049809604131,"Sulfurous acid, cyclohexylmethyl heptadecyl ester",C24H48O3S,84.4134104970811
21,11.7779,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,95.2500009922418,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,95.2500009922418,"Cyclohexane, 1-ethyl-4-methyl-, trans-",C9H18,89.7062537188261
22,11.6123,Nonane,C9H20,96.2933754522527,Nonane,C9H20,96.2933754522527,"3-Hexanone, 2,5-dimethyl-",C8H16O,85.8693304847143
