[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:35:45,849 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:37:21,317 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:21,507 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:43:32,976 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
[Quantification.py] 2023-12-26 00:44:41,579 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231226.xlsx
