,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
0,39.9347648668363,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,54.2309415752463,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,51.8657590189619
1,39.9347615329721,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,53.592208045512,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,51.1573107739685
2,39.9164,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,53.5559263256006,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,53.5559263256006
3,39.877,No Match,,,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,52.2036573621104,"3-Fluoro-4-(trifluoromethoxy)benzoic acid, TMS",C11H12F4O3Si,50.1525404985059
4,39.4484,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,67.4822921050105,"4-tert-Octylphenol, TMS derivative",C17H30OSi,67.7392045168865,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,64.2910985119084
5,39.2568,No Match,,,5-Methyl-3-phenyl-1H-indazole,C14H12N2,71.0342064183552,"3-Methylsalicylic acid, 2TMS derivative",C14H24O3Si2,53.7642483826824
6,39.2298,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,63.7165213708178,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,63.7165213708178,1-Methyl-2-phenylbenzimidazole,C14H12N2,62.6058087073885
7,38.5994,No Match,,,"4-tert-Octylphenol, TMS derivative",C17H30OSi,58.5390420091893,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,54.7915513305839
8,38.4188,No Match,,,"Glycine, 2-cyclohexyl-N-(but-2-yn-1-yl)oxycarbonyl-, isohexyl ester",C19H31NO4,65.9208808617175,"Glycine, 2-cyclohexyl-N-(but-2-yn-1-yl)oxycarbonyl-, dodecyl ester",C25H43NO4,62.2811902562512
9,38.3439,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,58.8474064711262,"4-tert-Octylphenol, TMS derivative",C17H30OSi,58.9449561824975,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,51.8497798103683
10,37.4725,No Match,,,"3-Methylsalicylic acid, 2TMS derivative",C14H24O3Si2,55.3272357750542,"1-Heptene, 1,3-diphenyl-1-(trimethylsilyloxy)-",C22H30OSi,50.0015440619264
11,36.8609,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,75.219098241694,"4-tert-Octylphenol, TMS derivative",C17H30OSi,50.6069475862734
12,36.8295670760483,No Match,,,"2-((4-Cyano-3-(trifluoromethyl)phenyl)(2,2,2-trifluoroethyl)amino)acetamide",C12H9F6N3O,50.6558642837963,"2-((4-Cyano-3-(trifluoromethyl)phenyl)(2,2,2-trifluoroethyl)amino)acetamide",C12H9F6N3O,50.6558642837963
13,36.7600418381029,"d-Galactityl, 2,3,4,5,6-pentaacetate d-glucityl 1,2,3,5,6-pentaacetate ether",C32H46O21,52.8093355709959,"d-Galactityl, 2,3,4,5,6-pentaacetate d-glucityl 1,2,3,5,6-pentaacetate ether",C32H46O21,52.8093355709959,"d-Galactityl, 2,3,4,5,6-pentaacetate d-glucityl 1,2,3,5,6-pentaacetate ether",C32H46O21,52.8093355709959
14,36.6297,No Match,,,"l-Leucine, N-(3-fluorobenzoyl)-, tetradecyl ester",C27H44FNO3,65.5771370001872,"l-Leucine, N-(3-fluorobenzoyl)-, octadecyl ester",C31H52FNO3,59.132090053237
15,36.1893,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,74.7453903752345,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,82.580753938667,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,74.7453903752345
16,35.7378,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,66.0573594779988,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,66.0573594779988,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,61.7936339887117
17,35.5083,"5-Benzofuranpropanol, 2-(1,3-benzodioxol-5-yl)-7-methoxy-",C19H18O5,58.5645733225836,"5-Benzofuranpropanol, 2-(1,3-benzodioxol-5-yl)-7-methoxy-",C19H18O5,58.5645733225836,"3,6-Bis-dimethylaminomethyl-2,7-dihydroxy-fluoren-9-one",C19H22N2O3,50.1891551947323
18,35.3327,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,59.7808389523882,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,61.4905738359646,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,56.6251572665322
19,35.127,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,77.8907769462226,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,88.0434669511405,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,77.8907769462226
20,34.8791,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,76.8739265656223,"4-tert-Octylphenol, TMS derivative",C17H30OSi,52.9339963801777
21,34.7034,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,73.9934084523896,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,73.9934084523896,"N,N-Dimethyl-4-nitroso-3-(trimethylsilyl)aniline",C11H18N2OSi,52.8240818293567
22,34.4333,No Match,,,"9-Amino-7-mercapto-5,6,8,10-tetraaza-benzo[b]fluoren-11-one",C13H7N5OS,53.953581228379,"Phosphoric acid, diundecyl ethyl ester",C24H51O4P,50.8753617722448
