FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
8.423,1.9852,8.419,"Heptane, 2,3-dimethyl-",C9H20,86.89669649,Manual assignment based on HydroUI,B
8.478,0.3294,,No match,,,Manual assignment based on HydroUI,
8.521,0.3734,8.518,"Heptane, 4-ethyl-",C9H20,71.45174289,Manual assignment based on HydroUI,B
8.606,12.9289,8.6023,"Octane, 2-methyl-",C9H20,96.83368655,Manual assignment based on HydroUI,B
8.762,11.5977,8.7611,"Octane, 3-methyl-",C9H20,96.287714,Manual assignment based on HydroUI,B
8.901,1.4829,8.8981,"Cyclohexane, 1,2,4-trimethyl-",C9H18,87.25685836,Manual assignment based on HydroUI,C
8.973,0.5127,8.9717,"Cyclohexane, 1,3,5-trimethyl-",C9H18,85.32885902,Manual assignment based on HydroUI,C
9.039,0.6557,9.034,"Cyclohexane, 1,3,5-trimethyl-",C9H18,81.03638529,Manual assignment based on HydroUI,C
9.088,0.2979,9.084,(E)-But-2-enyl (E)-2-methylbut-2-enoate,C9H14O2,71.00831354,Manual assignment based on HydroUI,O
9.15,1.1605,9.1474,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,87.7890406,Manual assignment based on HydroUI,C
9.196,0.7334,9.1917,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,80.92632462,Manual assignment based on HydroUI,C
9.289,1.6658,9.287,"Benzene, 1,3-dimethyl-",C8H10,96.70519528,Manual assignment based on HydroUI,A
9.342,0.05,,No match,,,Manual assignment based on HydroUI,
9.386,3.0855,9.3831,Nonane,C9H20,95.42867816,Manual assignment based on HydroUI,L
9.51,0.2055,9.5132,"Cyclohexane, 1-ethyl-2-propyl-",C11H22,59.30016735,Manual assignment based on HydroUI,C
9.576,0.7289,9.5732,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,89.81576122,Manual assignment based on HydroUI,C
9.643,0.7144,9.6397,"2-Pentene, 2,4,4-trimethyl-",C8H16,74.76169036,Manual assignment based on HydroUI,E
9.765,2.5765,9.7617,"Hexane, 2,2,3,3-tetramethyl-",C10H22,91.44565635,Manual assignment based on HydroUI,B
9.917,3.5242,9.9132,"Octane, 2,5-dimethyl-",C10H22,95.63954745,Manual assignment based on HydroUI,B
10.003,3.0107,10.0005,"Octane, 2,7-dimethyl-",C10H22,91.92842945,Manual assignment based on HydroUI,B
10.104,4.0603,10.1012,"Octane, 3,6-dimethyl-",C10H22,96.56863336,Manual assignment based on HydroUI,B
10.225,1.4638,10.2214,"Octane, 3,6-dimethyl-",C10H22,92.47143739,Manual assignment based on HydroUI,B
