FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
21.895,0.3266,21.8921,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,64.30910676,Manual assignment based on HydroUI,A
21.969,1.23,21.9661,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,84.38826743,Manual assignment based on HydroUI,A
22.099,0.822,22.0948,"6-Isopropyl-1,4-dimethylnaphthalene",C15H18,86.01872491,Manual assignment based on HydroUI,A
22.205,0.4914,22.2035,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,73.78072919,Manual assignment based on HydroUI,A
22.267,0.1542,,No match,,,Manual assignment based on HydroUI,
22.335,0.2602,22.332,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,72.48832929,Manual assignment based on HydroUI,A
22.386,0.1461,,No match,,,Manual assignment based on HydroUI,
22.438,0.4183,,No match,,,Manual assignment based on HydroUI,
22.542,0.6752,22.5434,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,72.96867879,Manual assignment based on HydroUI,A
22.632,1.6661,22.629,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,89.91286913,Manual assignment based on HydroUI,A
22.727,0.4182,22.7246,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,76.72732041,Manual assignment based on HydroUI,A
22.772,0.2808,22.7677,1-Ethoxy-2-phenylmethylbenzene,C15H16O,75.03110075,Manual assignment based on HydroUI,O
22.84,0.3131,22.8341,"4,5-Dimethoxy-2-hydroxyacetophenone",C10H12O4,67.54030109,Manual assignment based on HydroUI,O
22.898,0.4178,22.8981,1-Ethoxy-2-phenylmethylbenzene,C15H16O,62.65031845,Manual assignment based on HydroUI,O
22.992,1.295,22.9918,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,82.21194098,Manual assignment based on HydroUI,A
23.069,0.5288,,No match,,,Manual assignment based on HydroUI,
23.209,1.0058,23.2088,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,86.67111358,Manual assignment based on HydroUI,A
23.245,0.2895,,No match,,,Manual assignment based on HydroUI,
23.386,1.1229,,No match,,,Manual assignment based on HydroUI,
23.467,0.2391,23.46,"Benzo[a]fluorene, 1,2,3,4,6b,7,8,9,10,10a-decahydro-",C17H22,50.79563097,Manual assignment based on HydroUI,A
23.503,0.2197,,No match,,,Manual assignment based on HydroUI,
23.569,0.4599,,No match,,,Manual assignment based on HydroUI,
23.662,0.3717,,No match,,,Manual assignment based on HydroUI,
23.717,0.2594,23.694,"1,2,5,6-Tetramethylacenaphthylene",C16H16,52.47321106,Manual assignment based on HydroUI,A
23.755,0.2212,23.75,"Benzo[d,E]isocoumarin, 3,3-dimethyl-",C14H12O2,68.06485409,Manual assignment based on HydroUI,O
23.824,0.3021,23.8264,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,72.56514204,Manual assignment based on HydroUI,O
23.866,0.1187,23.8732,"1,3-Dimethyl-5-(adamantyl-1)benzene",C18H24,56.13483275,Manual assignment based on HydroUI,A
23.961,0.3909,23.9597,"9H-Xanthen-9-one, 4-methoxy-",C14H10O3,68.27931098,Manual assignment based on HydroUI,O
24.021,0.2263,24.0214,"1-(2,3,4-Trimethoxyphenyl)ethanol",C11H16O4,64.03852795,Manual assignment based on HydroUI,O
24.08,0.2553,24.0631,"Benzo[a]fluorene, 1,2,3,4,6b,7,8,9,10,10a-decahydro-",C17H22,50.24252319,Manual assignment based on HydroUI,A
24.119,0.321,,No match,,,Manual assignment based on HydroUI,
24.231,0.3924,,No match,,,Manual assignment based on HydroUI,
24.352,0.2984,24.3495,"Naphtho[2,1-b:7,8-b']difuran, 1,2,9,10-tetrahydro-2,9-dimethyl-",C16H16O2,55.39666104,Manual assignment based on HydroUI,O
24.398,0.0471,,No match,,,Manual assignment based on HydroUI,
24.463,0.1915,,No match,,,Manual assignment based on HydroUI,
24.52,0.1793,,No match,,,Manual assignment based on HydroUI,
24.558,0.3362,24.5579,"Phenanthrene, 2,7-dimethyl-",C16H14,57.98864708,Manual assignment based on HydroUI,A
24.641,1.1871,24.6334,"1-Acetyl-4,6,8-trimethylazulene",C15H16O,79.92528,Manual assignment based on HydroUI,O
24.745,0.4384,24.7442,di-p-Tolylacetylene,C16H14,64.99667895,Manual assignment based on HydroUI,A
24.808,0.21,24.8059,"Phenanthrene, 3,6-dimethyl-",C16H14,67.6696334,Manual assignment based on HydroUI,A
24.906,0.5818,24.9003,"Benzene, 1-(1,1-dimethylethyl)-4-phenoxy-",C16H18O,62.53937053,Manual assignment based on HydroUI,O
24.969,0.169,,No match,,,Manual assignment based on HydroUI,
25.094,0.4857,25.0861,"Naphtho[1,2-b]furan-4,5-dione, 2-isopropyl-",C15H12O3,63.97736988,Manual assignment based on HydroUI,O
25.185,0.2738,,No match,,,Manual assignment based on HydroUI,
25.249,0.1547,,No match,,,Manual assignment based on HydroUI,
25.301,0.2821,25.3001,"9H-Xanthen-9-one, 4-methoxy-",C14H10O3,57.88233833,Manual assignment based on HydroUI,O
25.375,0.1823,25.3655,"1,1'-Biphenyl, 3,3',4,4',5,5'-hexamethyl-",C18H22,51.83874637,Manual assignment based on HydroUI,A
25.424,0.063,25.4174,1-Ethyl-2-methylphenanthrene,C17H16,54.68759308,Manual assignment based on HydroUI,A
25.468,0.1866,,No match,,,Manual assignment based on HydroUI,
25.526,0.193,,No match,,,Manual assignment based on HydroUI,
25.604,0.5903,,No match,,,Manual assignment based on HydroUI,
25.755,0.4619,25.7551,"Phenanthrene, 2,3,5-trimethyl-",C17H16,79.27204731,Manual assignment based on HydroUI,A
25.836,0.77,25.8341,"Phenanthrene, 2,3,5-trimethyl-",C17H16,72.09572344,Manual assignment based on HydroUI,A
25.979,0.8334,25.9747,4-Propylbiphenyl-4'-carboxylic acid,C16H16O2,52.33922886,Manual assignment based on HydroUI,O
26.063,0.0838,26.1032,Butylated Hydroxytoluene,C15H24O,66.95056693,Manual assignment based on HydroUI,O
26.116,0.1641,26.1119,"2-Propenoic acid, 3-(3,4,5-trimethoxyphenyl)-",C12H14O5,68.534879,Manual assignment based on HydroUI,O
26.197,0.2067,,No match,,,Manual assignment based on HydroUI,
26.249,0.319,26.2572,Butylated Hydroxytoluene,C15H24O,68.21189611,Manual assignment based on HydroUI,O
26.33,0.1864,,No match,,,Manual assignment based on HydroUI,
26.368,0.075,,No match,,,Manual assignment based on HydroUI,
26.431,0.2528,26.438,"2H-1-Benzopyran, 6,7-dimethoxy-2,2-dimethyl-",C13H16O3,68.13740364,Manual assignment based on HydroUI,O
26.483,0.1964,,No match,,,Manual assignment based on HydroUI,
26.54,0.0642,,No match,,,Manual assignment based on HydroUI,
26.591,0.259,,No match,,,Manual assignment based on HydroUI,
26.727,0.6092,26.7271,"3,5-Di-tert-butyl-2-hydroxybenzaldehyde",C15H22O2,76.83898048,Manual assignment based on HydroUI,O
26.779,0.0723,,No match,,,Manual assignment based on HydroUI,
26.856,0.4436,,No match,,,Manual assignment based on HydroUI,
26.914,0.2444,26.9122,"Ethanone, 1-(4,6-dihydroxy-2,3,5-trimethyl-7-benzofuranyl)-",C13H14O4,68.18656489,Manual assignment based on HydroUI,O
27.041,0.638,,No match,,,Manual assignment based on HydroUI,
27.139,0.7836,27.1394,"Phenanthrene, 2,4,5,7-tetramethyl-",C18H18,75.40343736,Manual assignment based on HydroUI,A
27.317,6.2724,27.3003,"1,3,6,8-Tetramethylanthracene",C18H18,58.52621828,Manual assignment based on HydroUI,A
27.5,0.3637,,No match,,,Manual assignment based on HydroUI,
27.582,0.2762,27.5867,Pentacene,C22H14,57.09924085,Manual assignment based on HydroUI,A
27.67,0.4827,27.6734,2-Isopropyl-10-methylphenanthrene,C18H18,71.67161729,Manual assignment based on HydroUI,A
27.723,0.2991,,No match,,,Manual assignment based on HydroUI,
27.765,0.3418,27.764,"1,4-Naphthoquinone, 6-acetyl-2,5,7-trihydroxy-",C12H8O6,55.36152774,Manual assignment based on HydroUI,O
27.826,0.2145,,No match,,,Manual assignment based on HydroUI,
27.93,0.5651,,No match,,,Manual assignment based on HydroUI,
27.989,0.1642,,No match,,,Manual assignment based on HydroUI,
28.05,0.2446,,No match,,,Manual assignment based on HydroUI,
28.124,0.9203,28.1193,"8-Isopropyl-1,3-dimethylphenanthrene",C19H20,63.77555115,Manual assignment based on HydroUI,A
28.196,0.1256,,No match,,,Manual assignment based on HydroUI,
28.362,0.9126,28.3597,"Ethanone, 1-(7-hydroxy-5-methoxy-2,2-dimethyl-2H-1-benzopyran-8-yl)-",C14H16O4,51.51165631,Manual assignment based on HydroUI,O
28.432,0.2672,,No match,,,Manual assignment based on HydroUI,
28.479,0.0866,,No match,,,Manual assignment based on HydroUI,
28.528,0.4298,,No match,,,Manual assignment based on HydroUI,
28.624,0.6976,28.626,"8-Isopropyl-1,3-dimethylphenanthrene",C19H20,78.11253438,Manual assignment based on HydroUI,A
28.659,0.2942,,No match,,,Manual assignment based on HydroUI,
28.74,0.243,,No match,,,Manual assignment based on HydroUI,
28.895,0.7801,28.8978,"2-Naphthoic acid, 6-hydroxy-5,7-dimethoxy-, acetate",C15H14O6,64.1671875,Manual assignment based on HydroUI,O
29.214,1.4281,,No match,,,Manual assignment based on HydroUI,
29.465,0.2866,,No match,,,Manual assignment based on HydroUI,
29.691,0.2116,,No match,,,Manual assignment based on HydroUI,
29.799,0.7406,,No match,,,Manual assignment based on HydroUI,
30.036,0.5097,,No match,,,Manual assignment based on HydroUI,
30.164,0.1831,,No match,,,Manual assignment based on HydroUI,
30.324,1.4771,,No match,,,Manual assignment based on HydroUI,
30.45,0.7603,,No match,,,Manual assignment based on HydroUI,
30.564,1.259,,No match,,,Manual assignment based on HydroUI,
30.891,2.9651,,No match,,,Manual assignment based on HydroUI,
30.964,0.6918,,No match,,,Manual assignment based on HydroUI,
31.052,0.1536,,No match,,,Manual assignment based on HydroUI,
31.117,0.142,,No match,,,Manual assignment based on HydroUI,
31.329,0.8387,,No match,,,Manual assignment based on HydroUI,
31.437,0.1155,,No match,,,Manual assignment based on HydroUI,
31.457,0.0332,,No match,,,Manual assignment based on HydroUI,
31.475,0.0773,,No match,,,Manual assignment based on HydroUI,
31.505,0.1468,,No match,,,Manual assignment based on HydroUI,
31.591,1.0623,,No match,,,Manual assignment based on HydroUI,
31.705,0.7595,,No match,,,Manual assignment based on HydroUI,
31.857,0.1038,,No match,,,Manual assignment based on HydroUI,
31.891,0.1565,,No match,,,Manual assignment based on HydroUI,
31.91,0.1022,,No match,,,Manual assignment based on HydroUI,
31.933,0.113,,No match,,,Manual assignment based on HydroUI,
31.959,0.1559,,No match,,,Manual assignment based on HydroUI,
31.999,0.2943,31.9806,"Benzene, 1,1'-(1,1,10,10-tetramethyl-1,10-decanediyl)bis[3,4-dimethyl-",C30H46,54.77945569,Manual assignment based on HydroUI,A
32.379,0.0729,,No match,,,Manual assignment based on HydroUI,
32.433,0.0934,,No match,,,Manual assignment based on HydroUI,
32.471,0.3099,,No match,,,Manual assignment based on HydroUI,
32.531,0.1051,,No match,,,Manual assignment based on HydroUI,
32.696,0.3072,,No match,,,Manual assignment based on HydroUI,
32.789,0.269,,No match,,,Manual assignment based on HydroUI,
32.856,0.2555,,No match,,,Manual assignment based on HydroUI,
32.931,0.1001,,No match,,,Manual assignment based on HydroUI,
33.118,0.2487,,No match,,,Manual assignment based on HydroUI,
33.162,0.2519,,No match,,,Manual assignment based on HydroUI,
33.238,0.6487,,No match,,,Manual assignment based on HydroUI,
33.404,0.143,,No match,,,Manual assignment based on HydroUI,
33.442,0.0756,,No match,,,Manual assignment based on HydroUI,
33.497,0.2396,,No match,,,Manual assignment based on HydroUI,
33.551,0.107,,No match,,,Manual assignment based on HydroUI,
33.71,0.2814,,No match,,,Manual assignment based on HydroUI,
33.754,0.1812,,No match,,,Manual assignment based on HydroUI,
34.011,0.2261,,No match,,,Manual assignment based on HydroUI,
34.046,0.1014,,No match,,,Manual assignment based on HydroUI,
34.134,0.4432,,No match,,,Manual assignment based on HydroUI,
34.201,0.2121,,No match,,,Manual assignment based on HydroUI,
34.233,0.2816,,No match,,,Manual assignment based on HydroUI,
34.324,0.2961,,No match,,,Manual assignment based on HydroUI,
34.375,0.275,,No match,,,Manual assignment based on HydroUI,
34.41,0.0634,,No match,,,Manual assignment based on HydroUI,
34.596,0.0642,,No match,,,Manual assignment based on HydroUI,
34.691,0.099,,No match,,,Manual assignment based on HydroUI,
34.758,0.2453,,No match,,,Manual assignment based on HydroUI,
34.932,0.4528,,No match,,,Manual assignment based on HydroUI,
34.973,0.0652,,No match,,,Manual assignment based on HydroUI,
35.049,0.1699,,No match,,,Manual assignment based on HydroUI,
35.132,0.1843,,No match,,,Manual assignment based on HydroUI,
35.205,0.4412,,No match,,,Manual assignment based on HydroUI,
35.337,0.5519,,No match,,,Manual assignment based on HydroUI,
35.437,0.0655,,No match,,,Manual assignment based on HydroUI,
36.014,0.0671,,No match,,,Manual assignment based on HydroUI,
36.061,0.316,,No match,,,Manual assignment based on HydroUI,
36.223,0.0987,,No match,,,Manual assignment based on HydroUI,
36.357,0.3539,,No match,,,Manual assignment based on HydroUI,
36.404,0.2247,,No match,,,Manual assignment based on HydroUI,
36.649,0.3296,,No match,,,Manual assignment based on HydroUI,
36.697,0.1911,,No match,,,Manual assignment based on HydroUI,
36.785,0.1285,,No match,,,Manual assignment based on HydroUI,
36.916,0.848,,No match,,,Manual assignment based on HydroUI,
37.107,0.3361,,No match,,,Manual assignment based on HydroUI,
37.262,0.5588,,No match,,,Manual assignment based on HydroUI,
37.364,0.1452,,No match,,,Manual assignment based on HydroUI,
37.409,0.2491,,No match,,,Manual assignment based on HydroUI,
37.864,0.4393,,No match,,,Manual assignment based on HydroUI,
37.975,0.0728,,No match,,,Manual assignment based on HydroUI,
37.995,0.2264,,No match,,,Manual assignment based on HydroUI,
38.195,0.1002,,No match,,,Manual assignment based on HydroUI,
38.532,0.1293,,No match,,,Manual assignment based on HydroUI,
39.235,0.063,,No match,,,Manual assignment based on HydroUI,
39.271,0.1543,,No match,,,Manual assignment based on HydroUI,
39.442,1.6111,,No match,,,Manual assignment based on HydroUI,
39.528,0.4266,,No match,,,Manual assignment based on HydroUI,
39.64,0.5633,,No match,,,Manual assignment based on HydroUI,
