,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
169,7.2381,"Cyclohexane, 1,3-dimethyl-, trans-",C8H16,89.19939665,"Cyclohexane, 1,3-dimethyl-, trans-",C8H16,89.19939665,"2-Pentene, 2,4,4-trimethyl-",C8H16,80.74809748
168,7.4486,"Heptane, 4,4-dimethyl-",C9H20,76.48286326,"Heptane, 4,4-dimethyl-",C9H20,76.48286326,"Hexane, 2,3,3-trimethyl-",C9H20,73.64537041
167,7.6147,"Heptane, 2,4-dimethyl-",C9H20,92.19243544,"Heptane, 2,4-dimethyl-",C9H20,92.19243544,"Hexane, 3-ethyl-",C8H18,82.9269863
166,7.7666,"Octane, 2-methyl-",C9H20,88.65581551,"Octane, 2-methyl-",C9H20,88.65581551,"Octane, 2,6-dimethyl-",C10H22,66.72929573
165,7.9269,"Heptane, 3,5-dimethyl-",C9H20,92.93207049,"Heptane, 3,5-dimethyl-",C9H20,92.93207049,"Heptane, 2,5-dimethyl-",C9H20,85.20727371
164,8.0388,"1,1,4-Trimethylcyclohexane",C9H18,76.63485903,"2-Hepten-4-one, 6-methyl-",C8H14O,78.09145571,Difluoroisocyanatophosphine,CF2NOP,64.83220288
163,8.3349,"Cyclohexane, 1,3,5-trimethyl-",C9H18,83.43033663,"Cyclohexane, 1,3,5-trimethyl-",C9H18,83.43033663,"2-Pyrazoline, 1-isopropyl-5-methyl-",C7H14N2,78.06605694
162,8.422,"Heptane, 2,3-dimethyl-",C9H20,83.23440521,"Heptane, 2,3-dimethyl-",C9H20,83.23440521,"Dodecane, 5-methyl-",C13H28,75.42759585
161,8.6061,"Octane, 2-methyl-",C9H20,93.03858256,"Octane, 2-methyl-",C9H20,93.03858256,"Nonane, 3-methyl-",C10H22,75.32731268
160,8.7615,"Octane, 3-methyl-",C9H20,85.2713681,"Octane, 3-methyl-",C9H20,85.2713681,2-Phenyl-hex-5-en-3-ol,C12H16O,64.20756791
159,8.8999,"1-Undecene, 7-methyl-",C12H24,81.43394262,"1-Undecene, 7-methyl-",C12H24,81.43394262,"1-Hexene, 2,5,5-trimethyl-",C9H18,68.76770746
158,9.0345,"Cyclooctane, (1-methylpropyl)-",C12H24,75.96650218,"Cyclooctane, (1-methylpropyl)-",C12H24,75.96650218,"Cyclohexane, 2-ethyl-1,3-dimethyl-",C10H20,73.93834311
157,9.149,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,89.24734635,"1-Ethyl-3-methylcyclohexane (c,t)",C9H18,89.24734635,1-Ethyl-4-methylcyclohexane,C9H18,83.27431637
156,9.2903,"Benzene, 1,3-dimethyl-",C8H10,85.26050247,"Benzene, 1,3-dimethyl-",C8H10,85.26050247,Ethylbenzene,C8H10,81.02579991
155,9.3862,"Hexane, 3,3-dimethyl-",C8H18,90.37817144,"Hexane, 3,3-dimethyl-",C8H18,90.37817144,"4,4-Dimethyl octane",C10H22,81.5422654
154,9.7374,"Heptane, 3,5-dimethyl-",C9H20,62.71162506,"Heptane, 3,5-dimethyl-",C9H20,62.71162506,"Decane, 2,5-dimethyl-",C12H26,60.78018647
153,9.7637,"Decane, 5-methyl-",C11H24,89.3915933,"Decane, 5-methyl-",C11H24,89.3915933,5-Hydroxypentanal acetate,C7H12O3,68.40623835
152,9.9143,"Heptane, 2,3,4-trimethyl-",C10H22,91.7137349,"Heptane, 2,3,4-trimethyl-",C10H22,91.7137349,"2,2-Dimethyl-3-octanone",C10H20O,73.96175375
151,10.0032,"Octane, 2,7-dimethyl-",C10H22,84.55851933,"3,6-Heptanedione",C7H12O2,86.55484472,"2,5-Hexanedione",C6H10O2,75.39371893
150,10.1032,"Undecane, 6,6-dimethyl-",C13H28,90.54596665,"Undecane, 6,6-dimethyl-",C13H28,90.54596665,"Octane, 3,6-dimethyl-",C10H22,78.75998445
