#"+EI TIC Scan LOHC007_GS1_01.d "
#Point,X(Minutes),Y(Counts)
0,0.095,1.4024136931063
1,0.099,1.42786015571539
2,0.103,1.45894270642319
3,0.106,1.48613628324186
4,0.110,1.50737943760613
5,0.113,1.52160489472687
6,0.117,1.52789889194216
7,0.121,1.53430254067688
8,0.124,1.54908356549606
9,0.128,1.56246105086654
10,0.131,1.56528274996654
11,0.135,1.5609478598984
12,0.139,1.55877675981368
13,0.142,1.56428126608908
14,0.146,1.57306069774478
15,0.149,1.57982985154427
16,0.153,1.58494692245101
17,0.156,1.58855080238961
18,0.160,1.58806833570412
19,0.164,1.58241031730153
20,0.167,1.57315572906162
21,0.171,1.56317744079348
22,0.174,1.55452959096109
23,0.178,1.54643730882714
24,0.182,1.53813303375564
25,0.185,1.53240191434009
26,0.189,1.52944863341677
27,0.192,1.52338855944293
28,0.196,1.51099062764603
29,0.200,1.50185300102685
30,0.203,1.50065414441441
31,0.207,1.49965266053695
32,0.210,1.49281040572451
33,0.214,1.48150167902062
34,0.217,1.46808764314366
35,0.221,1.45424231129028
36,0.225,1.44590879581359
37,0.228,1.44104757845219
38,0.232,1.43560155298716
39,0.235,1.42769933348689
40,0.239,1.41869328869103
41,0.243,1.4101112297703
42,0.246,1.40084202132781
43,0.250,1.39156550278402
44,0.253,1.3823255347467
45,0.257,1.36951092717597
46,0.261,1.3576831832801
47,0.264,1.35647701656637
48,0.268,1.35678404082078
49,0.271,1.34557765553501
50,0.275,1.33024837311868
51,0.278,1.32258738696116
52,0.282,1.319860719178
53,0.286,1.31626414934069
54,0.289,1.31014559455649
55,0.293,1.30143195381244
56,0.296,1.29226508678808
57,0.300,1.28427514607227
58,0.304,1.27545916391009
59,0.307,1.2638214826479
60,0.311,1.25448648329375
61,0.314,1.25706694905101
62,0.318,1.256299388415
63,0.322,1.24567781123286
64,0.325,1.23317022791653
65,0.329,1.22161295776859
66,0.332,1.21681753131885
67,0.336,1.22106470017144
68,0.339,1.22462471950228
69,0.343,1.22580164581083
70,0.347,1.22604287915357
71,0.350,1.22276064367196
72,0.354,1.21866698694657
73,0.357,1.21994625467326
74,0.361,1.21941992737999
75,0.365,1.2096828724546
76,0.368,1.19353485869318
77,0.372,1.18120271780794
78,0.375,1.17946291369965
79,0.379,1.18297176232141
80,0.383,1.18005503190457
81,0.386,1.17648770247244
82,0.390,1.17696285905664
83,0.393,1.17794972273151
84,0.397,1.17525960545483
85,0.400,1.17391454681648
86,0.404,1.17751842675509
87,0.408,1.17534732667037
88,0.411,1.16139965339886
89,0.415,1.153804458153
90,0.418,1.15886304824937
91,0.422,1.16708691220663
92,0.426,1.1684027304398
93,0.429,1.15643609461932
94,0.433,1.14290509712164
95,0.436,1.13711549689573
96,0.440,1.14022228994625
97,0.443,1.1476785932675
98,0.447,1.15462318949807
99,0.451,1.15673580877243
100,0.454,1.15482056223305
101,0.458,1.14683062151724
102,0.461,1.13945472931024
103,0.465,1.13895764242216
104,0.469,1.13996643640091
105,0.472,1.13121624515039
106,0.476,1.12437399033795
107,0.479,1.12645736920712
108,0.483,1.12761967531308
109,0.487,1.12650853991619
110,0.490,1.12527313279727
111,0.494,1.12049232655012
112,0.497,1.11749518501903
113,0.501,1.11357697072473
114,0.504,1.10957834531617
115,0.508,1.11229039289675
116,0.512,1.11596006374701
117,0.515,1.12156691144054
118,0.519,1.12725417024831
119,0.522,1.12737113186904
120,0.526,1.12528775299986
121,0.530,1.13019283096904
122,0.533,1.13232007044598
123,0.537,1.12147919022499
124,0.540,1.10615721790995
125,0.544,1.10310890566979
126,0.548,1.10814556546229
127,0.551,1.11651563144545
128,0.555,1.12129643769261
129,0.558,1.11919843862084
130,0.562,1.10854031093223
131,0.565,1.0971438630128
132,0.569,1.09589383569129
133,0.573,1.10049919950736
134,0.576,1.11324801616644
135,0.580,1.13281715733407
136,0.583,1.14275889509573
137,0.587,1.12512693077137
138,0.591,1.10358406225399
139,0.594,1.10101821669933
140,0.598,1.10161033490425
