FID RT (min),FID Signal,,MS RT (min),MS Signal
0.10082605,3.453699622,,0.526,0.831026065
0.101659383,3.455293522,,0.53,0.833515447
0.102492717,3.455170122,,0.533,0.829174428
0.10332605,3.455122322,,0.537,0.824438442
0.104159383,3.454748933,,0.54,0.825992947
0.104992717,3.455997233,,0.544,0.829312124
0.10582605,3.458641622,,0.548,0.828688872
0.106659383,3.4598004,,0.551,0.825913229
0.107492717,3.459530089,,0.555,0.825275483
0.10832605,3.4575482,,0.558,0.825492897
0.109159383,3.455286522,,0.562,0.824862398
0.109992717,3.453185422,,0.566,0.823351376
0.11082605,3.4525153,,0.569,0.820024953
0.111659383,3.451856556,,0.573,0.818060986
0.112492717,3.4498155,,0.576,0.81993074
0.11332605,3.4478787,,0.58,0.821434515
0.114159383,3.448449322,,0.583,0.81910457
0.114992717,3.450079178,,0.587,0.815734664
0.11582605,3.451171578,,0.591,0.813361235
0.116659383,3.450451589,,0.594,0.811991531
0.117492717,3.450184411,,0.598,0.81054211
0.11832605,3.450325933,,0.601,0.809784787
0.119159383,3.452083422,,0.605,0.811444375
0.119992717,3.453689978,,0.609,0.812603912
0.12082605,3.453005033,,0.612,0.808694097
0.121659383,3.4515399,,0.616,0.803490672
0.122492717,3.450943722,,0.619,0.800428768
0.12332605,3.453676611,,0.623,0.796790719
0.124159383,3.4533331,,0.627,0.794663692
0.124992717,3.453044789,,0.63,0.797776326
0.12582605,3.452827278,,0.634,0.803613873
0.126659383,3.4534161,,0.637,0.807690372
0.127492717,3.452415878,,0.641,0.807353381
0.12832605,3.4497701,,0.644,0.80596556
0.129159383,3.451541467,,0.648,0.808614378
0.129992717,3.454181233,,0.652,0.810600086
0.13082605,3.455931622,,0.655,0.806795354
0.131659383,3.453477678,,0.659,0.802461582
0.132492717,3.450814944,,0.662,0.802211557
0.13332605,3.450541689,,0.666,0.801109996
0.134159383,3.451891511,,0.67,0.796482717
0.134992717,3.451918711,,0.673,0.792217793
0.13582605,3.451130789,,0.677,0.793833898
0.136659383,3.451999944,,0.68,0.801283927
0.137492717,3.454999611,,0.684,0.807027261
0.13832605,3.457499167,,0.688,0.805382167
0.139159383,3.459440989,,0.691,0.800327308
0.139992717,3.460889278,,0.695,0.800493992
0.14082605,3.461277444,,0.698,0.807164956
0.141659383,3.460569011,,0.702,0.811390021
0.142492717,3.460559533,,0.705,0.809723186
0.14332605,3.459024656,,0.709,0.806523587
0.144159383,3.458354978,,0.713,0.803298623
0.144992717,3.457389411,,0.716,0.802932644
0.14582605,3.457433789,,0.72,0.809531138
0.146659383,3.455729422,,0.723,0.81376345
0.147492717,3.455392511,,0.727,0.806646788
0.14832605,3.456377678,,0.731,0.797635007
0.149159383,3.456793022,,0.734,0.795504357
0.149992717,3.454682689,,0.738,0.796272551
0.15082605,3.451785689,,0.741,0.793909993
0.151659383,3.452162733,,0.745,0.790514722
0.152492717,3.452257233,,0.748,0.787815174
0.15332605,3.452347522,,0.752,0.783133541
0.154159383,3.4526751,,0.756,0.782923375
0.154992717,3.4537047,,0.759,0.777585878
0.15582605,3.454548089,,0.763,0.76774068
0.156659383,3.454893656,,0.766,0.767258747
0.157492717,3.454979656,,0.77,0.77216504
0.15832605,3.458146944,,0.774,0.764051901
0.159159383,3.458845767,,0.777,0.746763921
0.159992717,3.458083489,,0.781,0.752913093
0.16082605,3.454106067,,0.784,0.764954166
0.161659383,3.451679411,,0.788,0.757235994
0.162492717,3.451502944,,0.792,0.750680984
0.16332605,3.454246633,,0.795,0.764939672
0.164159383,3.457230156,,0.799,0.793069328
0.164992717,3.459814178,,0.802,0.805566969
0.16582605,3.460024156,,0.806,0.780984773
0.166659383,3.456975889,,0.809,0.759475351
0.167492717,3.452157089,,0.813,0.771117833
0.16832605,3.4492842,,0.817,0.812252427
0.169159383,3.449194767,,0.82,0.825032705
0.169992717,3.452523411,,0.824,0.777401077
0.17082605,3.4563216,,0.827,0.718902408
0.171659383,3.460413756,,0.831,0.704647343
0.172492717,3.463256767,,0.835,0.687362987
0.17332605,3.462778833,,0.838,0.677945368
0.174159383,3.460643556,,0.842,0.753210225
0.174992717,3.4575902,,0.845,0.851220136
0.17582605,3.458042567,,0.849,0.891847433
0.176659383,3.460454222,,0.853,0.858325927
0.177492717,3.461436244,,0.856,0.816260079
0.17832605,3.458717378,,0.86,0.822952785
0.179159383,3.456311978,,0.863,0.820427167
0.179992717,3.455757978,,0.867,0.793167164
0.18082605,3.457839067,,0.87,0.809556503
0.181659383,3.458437767,,0.874,0.887042599
0.182492717,3.457827211,,0.878,0.951469404
0.18332605,3.454459678,,0.881,0.970181441
0.184159383,3.4522258,,0.885,0.940374079
0.184992717,3.451987844,,0.888,0.850604132
0.18582605,3.453961822,,0.892,0.765725983
0.186659383,3.454624467,,0.896,0.750235286
0.187492717,3.454212656,,0.899,0.755938762
0.18832605,3.454621022,,0.903,0.730871009
0.189159383,3.457431867,,0.906,0.726580721
0.189992717,3.4618246,,0.91,0.816035419
0.19082605,3.461844522,,0.914,0.923894152
0.191659383,3.459209211,,0.917,0.983363934
0.192492717,3.455487833,,0.921,1.028386602
0.19332605,3.455164556,,0.924,1.083055174
0.194159383,3.454061378,,0.928,1.07524279
0.194992717,3.454064433,,0.931,0.942508353
0.19582605,3.4569687,,0.935,0.739574788
0.196659383,3.459687667,,0.939,0.602789217
0.197492717,3.460395056,,0.942,0.568423423
0.19832605,3.458760522,,0.946,0.555791711
0.199159383,3.458243911,,0.949,0.543373788
0.199992717,3.458704933,,0.953,0.575058152
0.20082605,3.459561689,,0.957,0.643829599
0.201659383,3.460885911,,0.96,0.690116888
0.202492717,3.459253678,,0.964,0.737103524
0.20332605,3.4568196,,0.967,0.812564053
0.204159383,3.454149244,,0.971,0.849274287
0.204992717,3.454884956,,0.975,0.795736264
0.20582605,3.456645067,,0.978,0.700473008
0.206659383,3.454454056,,0.982,0.639046506
0.207492717,3.452214267,,0.985,0.665415115
0.20832605,3.451771533,,0.989,0.756196034
0.209159383,3.4534027,,0.992,0.816274573
0.209992717,3.454274644,,0.996,0.816687659
0.21082605,3.454040422,,1,0.814720068
0.211659383,3.454824133,,1.003,0.823166575
0.212492717,3.453392656,,1.007,0.81916617
0.21332605,3.451622356,,1.01,0.808723085
0.214159383,3.452746767,,1.014,0.805534357
0.214992717,3.455255489,,1.018,0.797395853
0.21582605,3.456897789,,1.021,0.785362027
0.216659383,3.456795878,,1.025,0.783470531
0.217492717,3.457155022,,1.028,0.807650513
0.21832605,3.456609167,,1.032,0.86448597
0.219159383,3.456028711,,1.035,0.905254586
0.219992717,3.454194556,,1.039,0.887926747
0.22082605,3.452182489,,1.043,0.852187625
0.221659383,3.452112622,,1.046,0.82942083
0.222492717,3.454178111,,1.05,0.802943515
0.22332605,3.454972167,,1.053,0.768030564
0.224159383,3.454651378,,1.057,0.729896273
0.224992717,3.454518556,,1.061,0.716119518
0.22582605,3.455790967,,1.064,0.743687523
0.226659383,3.455592,,1.068,0.77417249
0.227492717,3.456131611,,1.071,0.775810336
0.22832605,3.456190333,,1.075,0.778629462
0.229159383,3.455709089,,1.079,0.790605311
0.229992717,3.453541489,,1.082,0.779662175
0.23082605,3.450745933,,1.086,0.741709062
0.231659383,3.450077933,,1.089,0.72552989
0.232492717,3.452511378,,1.093,0.743723758
0.23332605,3.457122622,,1.096,0.755322757
0.234159383,3.4588988,,1.1,0.756993216
0.234992717,3.457401578,,1.104,0.759268809
0.23582605,3.455165011,,1.107,0.756522154
