,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
22,32.9958,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,69.1746821562094,"4-tert-Octylphenol, TMS derivative",C17H30OSi,72.9153219578346,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,61.0959259898571
23,32.6129068057896,No Match,,,"3-(p-Nitrophenyl)-2-oxo-1,3-oxazolidine",C9H8N2O4,52.7319566551392,"3-(p-Nitrophenyl)-2-oxo-1,3-oxazolidine",C9H8N2O4,52.7319566551392
24,32.5124,No Match,,,"Benzeneethanamine, .beta.-hydroxy-.alpha.-methyl-N-octadecyl-",C27H49NO,62.9177992373056,"2-Butylamine, N-octadecyl-",C22H47N,51.3388502918473
25,32.3532,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,51.2491938137657,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,51.2491938137657
26,32.1958,No Match,,,"4-(5-Methyl-1,3-benzoxazol-2-yl)phenylamine, N-TMS",C17H20N2OSi,68.2558259074637,"4-(6-Methyl-1,3-benzoxazol-2-yl)phenylamine, 1TMS derivative",C17H20N2OSi,50.9894044757121
27,32.1448,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,59.3762230542279,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,61.1389633192106,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,59.3425927335875
28,32.0986,No Match,,,"4-(5-Methyl-1,3-benzoxazol-2-yl)phenylamine, N-TMS",C17H20N2OSi,56.4190580723704,"4-(5-Methyl-1,3-benzoxazol-2-yl)phenylamine, N-TMS",C17H20N2OSi,51.2340609002295
29,31.717,No Match,,,"3-Methylsalicylic acid, 2TMS derivative",C14H24O3Si2,60.6096470759776,"Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS",C14H24O3Si2,51.6197265267822
30,31.6874,"Methanol, [4-(1,1-dimethylethyl)phenoxy]-, acetate",C13H18O3,58.6118692617969,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,65.5971321040895,"1,4-Bis(trimethylsilyl)benzene",C12H22Si2,53.2109790065949
31,31.6344,Benzo[a]pyrene,C20H12,56.4494773873749,Benzo[a]pyrene,C20H12,56.4494773873749,"3,6-Bis(N,N-dimethylamino)-9-methylcarbazole",C17H21N3,50.6209774585485
32,31.6236,"1,2,3-Triphenyl-3-methyl-cyclopropene",C22H18,65.1564071103494,"4-Ethylbenzoic acid, tridec-2-ynyl ester",C22H32O2,67.6331445330001,"1,2,3-Triphenyl-3-methyl-cyclopropene",C22H18,50.4597455080921
33,31.4608011219454,No Match,,,"N-butyl-2,2,3,3,4,4,4-heptafluoro-N-(1-methyl-2-phenylethyl)butanamide",C17H20F7NO,50.7204363186857,"N-butyl-2,2,3,3,4,4,4-heptafluoro-N-(1-methyl-2-phenylethyl)butanamide",C17H20F7NO,50.7204363186857
34,31.3171118487248,No Match,,,"Pipecolic acid, 2TMS derivative",C12H27NO2Si2,50.2023233660578,"Pipecolic acid, 2TMS derivative",C12H27NO2Si2,50.2023233660578
35,31.2806311326169,No Match,,,"Benzoic acid, 3-(2,3-dihydro-1-indolylcarbonyl)-5-nitro-, methyl ester",C17H14N2O5,50.4293052612699,"Benzoic acid, 3-(2,3-dihydro-1-indolylcarbonyl)-5-nitro-, methyl ester",C17H14N2O5,50.4293052612699
36,31.2563,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,73.9850694918758,"4-(4-Hydroxyphenyl)-4-methyl-2-pentanone, TMS derivative",C15H24O2Si,52.4785607089669
37,31.2483,No Match,,,"Thiophen-2-methylamine, N-(2-fluorophenyl)-",C11H10FNS,57.1822508831852,"Thiophen-2-methylamine, N-(2-fluorophenyl)-",C11H10FNS,57.1822508831852
38,31.0788,"Terephthalic acid, 1-cyclopentylethyl ethyl ester",C17H22O4,56.7745468395487,2-Fluoro-5-(trifluoromethyl)benzyl bromide,C8H5BrF4,61.3535564070177,2-Fluoro-5-trifluoromethylbenzyl chloride,C8H5ClF4,56.2264540129342
39,31.0568,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,66.2950392413176,"4-tert-Octylphenol, TMS derivative",C17H30OSi,69.0191025461837,4-Methyl-2-trimethylsilyloxy-acetophenone,C12H18O2Si,50.9048433027272
40,30.9158,"m-Anisic acid, cyclobutyl ester",C12H14O3,63.8521690278116,"3-Methoxybenzoic acid, 2,4,6-trichlorophenyl ester",C14H9Cl3O3,65.4264634501462,"p-Anisic acid, 2-methyloct-5-yn-4-yl ester",C17H22O3,61.3740024645987
41,30.9,"9,10-Anthracenedione, 1,4-dihydroxy-2,3-dimethyl-",C16H12O4,65.0833270528296,"Propanedinitrile, 2-(5-phenylthio-2-thienylmethylene)-",C14H8N2S2,71.3143497471553,Disperse Blue 1,C14H12N4O2,57.9015694818291
42,30.886,Benzo[e]pyrene,C20H12,95.101022684009,Benzo[e]pyrene,C20H12,95.101022684009,"4,4'-Disulfanediyldiphenol",C12H10O2S2,51.7451380443845
43,30.7472,No Match,,,"Benzeneethanamine, .beta.-hydroxy-.alpha.-methyl-N-octadecyl-",C27H49NO,70.7520452044747,"Isonipecotic acid, N-allyloxycarbonyl-, dodecyl ester",C22H39NO4,65.3568449966501
44,30.6891,"4H-Dibenz[a,kl]anthracene, 5,6-dihydro-",C21H16,83.172094544387,"4H-Dibenz[a,kl]anthracene, 5,6-dihydro-",C21H16,83.172094544387,"2-Butylamine, N-hexadecyl-",C20H43N,64.734126679441
45,30.5718,3-Hydroxy-6-methoxyflavone,C16H12O4,51.3325579877556,3-Hydroxy-6-methoxyflavone,C16H12O4,51.3325579877556,Thioflavin t,C17H19ClN2S,50.0010046923544
46,29.8738,"2,2'-Binaphthalene",C20H14,81.5449844884582,"2,2'-Binaphthalene",C20H14,81.5449844884582,"2,2'-Binaphthalene",C20H14,61.3549573138956
47,29.8383,"9H-Fluorene, 9-phenyl-",C19H14,60.8956260484729,5-Cyano-2-methyl-4-methylthio-6-phenylpyrimidine,C13H11N3S,68.3684461250113,"9H-Fluorene, 9-phenyl-",C19H14,60.5958972783547
48,29.8192,3-Hydroxy-6-methoxyflavone,C16H12O4,61.4713920713816,"3-Phenylthio-1,2,3-triphenylcyclopropene",C27H20S,67.2317330360252,"4H-1-Benzopyran-4-one, 3-hydroxy-7-methoxy-2-phenyl-",C16H12O4,56.3737505217987
49,29.7385,"2,2'-Binaphthalene",C20H14,98.0124680357774,"2,2'-Binaphthalene",C20H14,98.0124680357774,"Anthracene, 9-phenyl-",C20H14,91.7236025695026
50,29.6866,No Match,,,"4-(5-Methyl-1,3-benzoxazol-2-yl)phenylamine, N-TMS",C17H20N2OSi,66.3466511982375,"4-(5-Methyl-1H-benzimidazol-2-yl)phenol, TMS derivative",C17H20N2OSi,51.1462004604192
51,29.6128,No Match,,,"2-(5-Hydroxypentyl)isoindole-1,3-dione, TMS derivative",C16H23NO3Si,57.5238147321297,"Benzo[2,1-b:3,4-b']bis[1]benzothiophene",C18H10S2,54.3737829923285
52,29.592,"2,2'-Binaphthalene",C20H14,78.4819854266416,"2,2'-Binaphthalene",C20H14,78.4819854266416,9H-Cyclopenta[a]pyrene,C19H12,51.4128773091687
53,29.5591,"9H-Tribenzo[a,c,e)cycloheptene",C19H14,77.4681922763308,"9H-Tribenzo[a,c,e)cycloheptene",C19H14,77.4681922763308,"Iron, (.eta.5-2,4-cyclopentadien-1-yl)[(1,2,3,4,5,6-.eta.)-1,3,5-trimethylbenzene]-",C14H17Fe,53.775027136136
54,29.5135,3-Methylcholanthrene,C21H16,57.3348383762871,3-Methylcholanthrene,C21H16,57.3348383762871,3-Methylcholanthrene,C21H16,54.7900089111884
55,29.5033,(+)-2-Methylcholanthrene,C21H16,78.7912460009805,(+)-2-Methylcholanthrene,C21H16,78.7912460009805,"2,3-Dimethylquinizarin, diacetate",C20H16O6,50.846266775712
56,29.4669,No Match,,,"3-Methoxybenzylamine, N,N-didecyl-",C28H51NO,74.8110966206261,"Ferrocene, benzoyl-",C17H14FeO,56.201349507342
57,29.4283,"1,2,3,10,11,12-Hexahydroperylene",C20H18,71.0880926531538,"1,2,3,10,11,12-Hexahydroperylene",C20H18,71.0880926531538,"(Bis-butoxycarbonylmethyl-amino)-acetic acid, butyl ester",C18H33NO6,57.4976451980546
58,29.3705,"Chrysene, 1-methyl-",C19H14,75.0646991509982,"Chrysene, 1-methyl-",C19H14,75.0646991509982,"Chrysene, 3-methyl-",C19H14,68.8164495579658
59,29.2731,"Benz[a]anthracene, 7-methyl-",C19H14,54.7395560774081,"Benzo[1,2-b:5,4-b']difuran-4,8-dione, 5-methyl-2-(1-methylethenyl)-",C14H10O4,58.6918583444865,"Benz[c]acridine, 5-methyl-",C18H13N,51.6869966172337
60,29.0588,(+)-2-Methylcholanthrene,C21H16,65.6826573499542,(+)-2-Methylcholanthrene,C21H16,65.6826573499542,3-Methylcholanthrene,C21H16,50.6125107327095
