Component RT,Compound Name,Match Factor,Best Hit,Formula
0.125151289211918,Unknown 1,,,
0.126098196300117,Unknown 2,,,
0.127684466965398,Unknown 3,,,
0.128328366026021,Unknown 4,,,
0.162363513631488,"(1S,2R)-(+)-Norephedrine",54.2255529981854,,C9H13NO
0.162363513631488,Norpseudoephedrine,53.7349394199137,,C9H13NO
0.162363513631488,(-)-Norephedrine,54.3343978606906,,C9H13NO
0.162363513631488,Norpseudoephedrine,55.6634887274263,True,C9H13NO
0.162363513631488,(-)-Norephedrine,54.8578113556347,False,C9H13NO
0.162363513631488,"(1S,2R)-(+)-Norephedrine",54.7196132204951,False,C9H13NO
0.162363513631488,(-)-Norephedrine,54.1436602724395,False,C9H13NO
0.162363513631488,Norpseudoephedrine,54.6811157182013,,C9H13NO
0.16259295379219,Norpseudoephedrine,52.2715803318307,,C9H13NO
0.16259295379219,1-Methyl-2-phenoxyethylamine,51.8981060823341,,C9H13NO
0.16259295379219,(-)-Norephedrine,51.8747329530378,,C9H13NO
0.16259295379219,"Norephedrine, (.+/-.)-",51.8212973244612,,C9H13NO
0.16266086577295,1-Methyl-2-phenoxyethylamine,52.8445355996547,,C9H13NO
0.16266086577295,Norpseudoephedrine,53.9662361529795,,C9H13NO
0.16266086577295,"Norephedrine, (.+/-.)-",52.9771699029819,,C9H13NO
0.16266086577295,(-)-Norephedrine,52.5872160382904,,C9H13NO
0.164953135574396,Unknown 5,,,
0.166895532920642,Unknown 6,,,
0.169305129770238,Unknown 7,,,
2.3137381889131,Unknown 8,,,
2.3137381889131,Unknown 9,,,
2.3137381889131,Unknown 10,,,
2.3137381889131,Unknown 11,,,
2.3137381889131,Unknown 12,,,
2.3137381889131,Unknown 13,,,
2.39581041080795,Silane,83.133632361407,,H4Si
2.39581041080795,Methylamine,89.35318538259,,CH5N
2.39581041080795,Silane,83.0820347873594,,H4Si
2.39581041080795,Silane,83.133632361407,,H4Si
2.39581041080795,Methylamine,89.35318538259,,CH5N
2.39581041080795,Silane,83.0820347873594,False,H4Si
2.39581041080795,Silane,83.0820347873594,,H4Si
2.39581041080795,Methylamine,89.35318538259,True,CH5N
2.39581041080795,"1,2-Ethanediol",56.6576253178842,,C2H6O2
2.39581041080795,"1,2-Ethanediol",50.3508476269956,,C2H6O2
2.39581041080795,"1,2-Ethanediol",59.781742379353,False,C2H6O2
2.39581041080795,Silane,83.133632361407,False,H4Si
2.39581041080795,"1,2-Ethanediol",59.781742379353,,C2H6O2
2.39581041080795,"1,2-Ethanediol",59.781742379353,,C2H6O2
4.42375684626136,Unknown 14,,,
4.42394676897247,Unknown 15,,,
4.42418131476898,Unknown 16,,,
4.42441479929797,Unknown 17,,,
4.42868992161446,"Geodin hydrate, 3TMS derivative",54.4281815864213,,C26H38Cl2O8Si3
4.42868992161446,"Tungsten, dicarbonyl-(.eta.-4-pinocarvone)[1,2-bis(dimethylphosphino)ethane]",54.9075825680246,,C18H30O3P2W
4.42868992161446,"Licoarylcoumarin, 3TMS",54.9399127216805,,C30H44O6Si3
4.42868992161446,"4,4'-Isopropylidenebis(2-[2,6-dibromophenoxy]ethanol)",52.2246838403256,,C19H20Br4O4
4.42868992161446,"Tungsten, dicarbonyl-(.eta.-4-pinocarvone)[1,2-bis(dimethylphosphino)ethane]",55.1505687985059,True,C18H30O3P2W
4.42868992161446,"Licoarylcoumarin, 3TMS",55.1089755021402,False,C30H44O6Si3
4.42868992161446,"Geodin hydrate, 3TMS derivative",54.494161353737,False,C26H38Cl2O8Si3
4.42868992161446,"4,4'-Isopropylidenebis(2-[2,6-dibromophenoxy]ethanol)",52.3656559029793,False,C19H20Br4O4
4.42874260543461,Unknown 18,,,
4.42879921610263,Unknown 19,,,
4.42882408897044,Unknown 20,,,
4.42883880980602,Unknown 21,,,
4.42886598170176,Unknown 22,,,
4.42892325956415,Unknown 23,,,
4.43253875141655,Unknown 24,,,
4.43368636171737,Unknown 25,,,
4.43378358951631,Unknown 26,,,
4.45361817190278,Methanesulfonylacetonitrile,52.293811458315,True,C3H5NO2S
4.45361817190278,"Borane, trimethyl-",50.6176880491352,False,C3H9B
4.45361817190278,"Borane, trimethyl-",50.4363141038201,False,C3H9B
4.45361827711556,Unknown 27,,,
4.45527554140418,Acetone,96.5968295115212,,C3H6O
4.45527554140418,Acetone,96.3404375203073,,C3H6O
4.45527554140418,Acetone,95.2889550402141,,C3H6O
4.45527554140418,Acetone,96.1149753858487,False,C3H6O
4.45527554140418,Acetone,96.2369154571357,False,C3H6O
4.45527554140418,"Diazene, dimethyl-",93.9129067882096,,C2H6N2
4.45527554140418,Acetone,94.4951306481542,,C3H6O
4.45527554140418,Acetone,95.1951312626215,,C3H6O
4.45527554140418,"Diazene, dimethyl-",93.5949651667161,,C2H6N2
4.45527554140418,Acetone,96.3964423388126,False,C3H6O
4.45527554140418,Acetone,98.8112236536421,True,C3H6O
4.45527554140418,Acetone,93.7337531100309,,C3H6O
4.45527554140418,Acetone,94.1551257562183,,C3H6O
4.45527554140418,Acetone,94.8648746799102,,C3H6O
4.45527554140418,Acetone,93.3998068740293,,C3H6O
4.45527554140418,Acetone,95.4220663210715,,C3H6O
4.45527554140418,Acetone,98.5902912553571,,C3H6O
4.45527554140418,Acetone,96.7649958728321,,C3H6O
4.45527554140418,Acetone,94.7502879492508,,C3H6O
4.45527554140418,Acetone,95.1407154301004,,C3H6O
4.45527554140418,Acetone,95.5174763063917,,C3H6O
4.45527554140418,Acetone,97.6295724808275,,C3H6O
4.45527554140418,Acetone,94.8359040981494,,C3H6O
